row_index,uniprot,label_target,L_eff,L_uniprot,n_binding_in_range,n_binding_uniprot,pred,conformer_top1,conformer_entropy_norm,mamba_refine_mean_seq,mamba_refine_max_seq,smiles,top10_a,top10_k,top10_fold,top10_p,top20_a,top20_k,top20_fold,top20_p,top30_a,top30_k,top30_fold,top30_p
1476,P00519,ABL1,1130,1130,17,17,0.967059850692749,0.2000106871128082,1.0000000186840277,0.14279447609344414,0.1447189599275589,CN1C(=O)C(=CC2=CN=C(NC3=CC(CO)=CC=C3)N=C12)C1=C(Cl)C=CC=C1Cl,0,113,0.0,1.0,0,226,0.0,1.0,0,339,0.0,1.0
800,P00374,DHFR,187,187,30,30,0.992986500263214,0.1250080317258834,1.0000000027478353,0.14502357257241233,0.14975108206272125,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[,6,19,1.9684210526315788,0.06026122796389153,13,38,2.132456140350877,0.0014400511534859931,14,57,1.5309941520467836,0.03216181326465877
1205,P00374,DHFR,187,187,30,30,0.9946936964988708,0.2000148445367813,1.0000000186840277,0.14519265572973752,0.14992110431194305,COC1=CC(=CC(OC)=C1OC)N(C)CC1=C(C)C2=C(N)N=C(N)N=C2N=C1,6,19,1.9684210526315788,0.06026122796389153,13,38,2.132456140350877,0.0014400511534859931,14,57,1.5309941520467836,0.03216181326465877
2055,P00374,DHFR,187,187,30,30,0.994650423526764,0.2000130861997604,1.0000000186840277,0.1453061837722911,0.1500377506017685,COC1=CC(CC2=C(C)C3=C(N=C2)N=C(N)N=C3N)=C(OC)C=C1,6,19,1.9684210526315788,0.06026122796389153,13,38,2.132456140350877,0.0014400511534859931,14,57,1.5309941520467836,0.03216181326465877
5295,P00374,DHFR,187,187,30,30,0.997298538684845,0.3333508372306824,1.0000000180537645,0.14532627994045216,0.15006323158740997,COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,6,19,1.9684210526315788,0.06026122796389153,13,38,2.132456140350877,0.0014400511534859931,14,57,1.5309941520467836,0.03216181326465877
222,P00533,EGFR,1210,1210,13,13,0.9903312921524048,0.1250095814466476,1.0000000027478353,0.14821454374011883,0.15030954778194427,COC1=C(NC2=NC=CC(=N2)C2=CN(C)C3=C2C=CC=C3)C=C(NC(=O)C=C)C(=C,0,121,0.0,1.0,0,242,0.0,1.0,0,363,0.0,1.0
758,P00533,EGFR,1210,1210,13,13,0.9627561569213868,0.2000122964382171,1.0000000186840277,0.14808565959457523,0.15006281435489655,CN1CC[C@@H]([C@H](O)C1)C1=C(O)C=C(O)C2=C1OC(=CC2=O)C1=CC=CC=,0,121,0.0,1.0,0,242,0.0,1.0,0,363,0.0,1.0
5163,P00533,EGFR,1210,1210,13,13,0.8950143456459045,0.1250065416097641,1.0000000027478353,0.14824643434325527,0.15017761290073395,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1,0,121,0.0,1.0,0,242,0.0,1.0,0,363,0.0,1.0
37,P12931,SRC,536,536,10,10,0.9060180187225342,0.1666768938302993,0.9999999456006516,0.15303386806218483,0.15629635751247406,C=CC(=O)NC1=CC=C2N=CN=C(NC3=CC=CC=C3)C2=C1,0,54,0.0,1.0,1,108,0.4962962962962963,0.8968510083547362,5,161,1.6645962732919255,0.1488058339074483
130,P12931,SRC,536,536,10,10,0.9722182154655457,0.16667240858078,1.000000012132623,0.15294379323943338,0.15620607137680054,BrC1=CC=CC(NC2=C3C=C(NC(=O)C=C)C=CC3=NC=N2)=C1,0,54,0.0,1.0,1,108,0.4962962962962963,0.8968510083547362,5,161,1.6645962732919255,0.1488058339074483
