row_index,uniprot,label_target,L_eff,L_uniprot,n_binding_in_range,n_binding_uniprot,pred,conformer_top1,conformer_entropy_norm,mamba_refine_mean_seq,mamba_refine_max_seq,smiles,top10_a,top10_k,top10_fold,top10_p,top20_a,top20_k,top20_fold,top20_p,top30_a,top30_k,top30_fold,top30_p
1476,P00519,ABL1,1130,1130,17,17,0.9846363067626952,0.5441850423812866,0.4312428900365696,0.11246002343507995,0.1130925640463829,CN1C(=O)C(=CC2=CN=C(NC3=CC(CO)=CC=C3)N=C12)C1=C(Cl)C=CC=C1Cl,5,113,2.9411764705882355,0.021216057751030352,7,226,2.0588235294117645,0.03650233251784001,7,339,1.3725490196078431,0.2232801709483699
800,P00374,DHFR,187,187,30,30,0.9557394981384276,0.4568428099155426,0.486156085910065,0.09192528368476878,0.0925980731844902,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[,2,19,0.6561403508771929,0.8476381917766923,4,38,0.6561403508771929,0.9057482903225492,9,57,0.9842105263157894,0.6026288420737754
1205,P00374,DHFR,187,187,30,30,0.8480175137519836,0.3220169246196747,0.8284853421351196,0.09193156528122284,0.09260450303554535,COC1=CC(=CC(OC)=C1OC)N(C)CC1=C(C)C2=C(N)N=C(N)N=C2N=C1,2,19,0.6561403508771929,0.8476381917766923,4,38,0.6561403508771929,0.9057482903225492,9,57,0.9842105263157894,0.6026288420737754
2055,P00374,DHFR,187,187,30,30,0.990934431552887,0.5289189219474792,0.5963554585836266,0.09193497951974205,0.09260793030261993,COC1=CC(CC2=C(C)C3=C(N=C2)N=C(N)N=C3N)=C(OC)C=C1,2,19,0.6561403508771929,0.8476381917766923,4,38,0.6561403508771929,0.9057482903225492,9,57,0.9842105263157894,0.6026288420737754
5295,P00374,DHFR,187,187,30,30,0.9937918782234192,0.69119793176651,0.5626542285310259,0.09193720047008545,0.09261008352041245,COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,2,19,0.6561403508771929,0.8476381917766923,4,38,0.6561403508771929,0.9057482903225492,9,57,0.9842105263157894,0.6026288420737754
222,P00533,EGFR,1210,1210,13,13,0.9614434838294984,0.4854909181594848,0.5367047680312594,0.09775674810463732,0.09876427799463272,COC1=C(NC2=NC=CC(=N2)C2=CN(C)C3=C2C=CC=C3)C=C(NC(=O)C=C)C(=C,2,121,1.5384615384615385,0.3790604189002725,2,242,0.7692307692307693,0.7679113362015744,2,363,0.5128205128205129,0.9373249916587999
758,P00533,EGFR,1210,1210,13,13,0.9020214080810548,0.6846256852149963,0.5217034921114222,0.09774878432065988,0.0987597107887268,CN1CC[C@@H]([C@H](O)C1)C1=C(O)C=C(O)C2=C1OC(=CC2=O)C1=CC=CC=,2,121,1.5384615384615385,0.3790604189002725,2,242,0.7692307692307693,0.7679113362015744,2,363,0.5128205128205129,0.9373249916587999
5163,P00533,EGFR,1210,1210,13,13,0.962498128414154,0.4869108498096466,0.5414881214997068,0.09775223557737248,0.09876258671283722,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1,2,121,1.5384615384615385,0.3790604189002725,2,242,0.7692307692307693,0.7679113362015744,2,363,0.5128205128205129,0.9373249916587999
37,P12931,SRC,536,536,10,10,0.9578909277915956,0.4504367113113403,0.5487473493708438,0.10045340268024758,0.10228102654218674,C=CC(=O)NC1=CC=C2N=CN=C(NC3=CC=CC=C3)C2=C1,0,54,0.0,1.0,0,108,0.0,1.0,0,161,0.0,1.0
130,P12931,SRC,536,536,10,10,0.9914848208427428,0.9531287550926208,0.1187197327204142,0.10045567510732964,0.10228458791971207,BrC1=CC=CC(NC2=C3C=C(NC(=O)C=C)C=CC3=NC=N2)=C1,0,54,0.0,1.0,0,108,0.0,1.0,0,161,0.0,1.0
547,P12931,SRC,536,536,10,10,0.9869421124458312,0.456085741519928,0.5715075785527094,0.10045263871772965,0.10228055715560913,N#CCC1=CC=C(NC2=NC3=CC=CC=C3C(NC3=NNC(=C3)C3CC3)=N2)C=C1,0,54,0.0,1.0,0,108,0.0,1.0,0,161,0.0,1.0
1023,P12931,SRC,536,536,10,10,0.9948011636734008,0.9999996423721312,7.431032314526931e-06,0.10045198112058995,0.10227928310632706,CC(C)(C)N1[NH+]=C(C2=C1N=CN=C2N)C1=CC=C(Cl)C=C1,0,54,0.0,1.0,0,108,0.0,1.0,0,161,0.0,1.0
1328,P12931,SRC,536,536,10,10,0.9937413334846495,0.4984008073806762,0.4140006787492482,0.10046238735762995,0.1022934764623642,CC(=O)N[C@@H](CC1=CC=C(OP(O)(O)=O)C(C=O)=C1)C(=O)N[C@H]1CCCC,0,54,0.0,1.0,0,108,0.0,1.0,0,161,0.0,1.0
1359,P12931,SRC,536,536,10,10,0.9964313507080078,0.5750544667243958,0.662097863387061,0.10045306426264457,0.10228084027767181,CC(C)N1N=C(C2=C(N)N=CN=C12)C1=CC2=CC=CN=C2C=C1,0,54,0.0,1.0,0,108,0.0,1.0,0,161,0.0,1.0
2623,P12931,SRC,536,536,10,10,0.9922349452972412,0.991263508796692,0.0456138078520175,0.10045838126662507,0.10228929668664932,[H][C@@](O)(C1=CC=CC2=CC=CC=C12)P(O)(O)=O,0,54,0.0,1.0,0,108,0.0,1.0,0,161,0.0,1.0
3212,P12931,SRC,536,536,10,10,0.9980175495147704,0.4486993253231048,0.5186551888232077,0.10045936596649352,0.10228968411684036,[H][C@@](CC1=CC(C=O)=C(C=C1)C(O)=O)(N=C(C)O)C(O)=N[C@@]1([H],0,54,0.0,1.0,0,108,0.0,1.0,0,161,0.0,1.0
619,P23219,COX1 (PTGS1),599,599,1,1,0.9737406373023988,0.4427477419376373,0.5721758179401006,0.082631891403652,0.08330413699150085,CC(=O)OC[C@H](N)C(O)=O,0,60,0.0,1.0,0,120,0.0,1.0,0,180,0.0,1.0
727,P23219,COX1 (PTGS1),599,599,1,1,0.9984935522079468,0.689792811870575,0.4469924546295625,0.08262655736010939,0.08329864591360092,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O,0,60,0.0,1.0,0,120,0.0,1.0,0,180,0.0,1.0
856,P23219,COX1 (PTGS1),599,599,1,1,0.9987668991088868,0.357212632894516,0.8261604207333303,0.08262797830648136,0.08330018073320389,CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1,0,60,0.0,1.0,0,120,0.0,1.0,0,180,0.0,1.0
971,P23219,COX1 (PTGS1),599,599,1,1,0.9956868290901184,0.842898964881897,0.3958005255581423,0.0826264436983306,0.08329872041940689,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,0,60,0.0,1.0,0,120,0.0,1.0,0,180,0.0,1.0
1155,P23219,COX1 (PTGS1),599,599,1,1,0.9948834776878356,0.7208295464515686,0.4607708759341267,0.08262492911594738,0.08329704403877258,CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12,0,60,0.0,1.0,0,120,0.0,1.0,0,180,0.0,1.0
1896,P23219,COX1 (PTGS1),599,599,1,1,0.9790001511573792,0.5242279767990112,0.4901122601554125,0.08263275940251072,0.08330467343330383,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O,0,60,0.0,1.0,0,120,0.0,1.0,0,180,0.0,1.0
2013,P23219,COX1 (PTGS1),599,599,1,1,0.9977923631668092,0.2866733968257904,0.8938492149475944,0.08262794031971483,0.08329978585243225,CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1,0,60,0.0,1.0,0,120,0.0,1.0,0,180,0.0,1.0
2523,P23219,COX1 (PTGS1),599,599,1,1,0.9991372227668762,1.0,0.0,0.08263050986202014,0.08330246061086655,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1,0,60,0.0,1.0,0,120,0.0,1.0,0,180,0.0,1.0
2988,P23219,COX1 (PTGS1),599,599,1,1,0.9982702732086182,0.3603230118751526,0.6114258221420965,0.08262885057169925,0.08330054581165314,OC(=O)C1=C(NC2=CC=CC(=C2)C(F)(F)F)N=CC=C1,0,60,0.0,1.0,0,120,0.0,1.0,0,180,0.0,1.0
3174,P23219,COX1 (PTGS1),599,599,1,1,0.996523916721344,0.2667860388755798,0.7821658885952785,0.08262579059710287,0.083297960460186,CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1,0,60,0.0,1.0,0,120,0.0,1.0,0,180,0.0,1.0
3315,P23219,COX1 (PTGS1),599,599,1,1,0.9984872341156006,0.209601804614067,0.8823776281697433,0.08262889089687837,0.08330085873603821,CC(C)C(=O)[C@@]12C(O)=C(CC=C(C)C)C(=O)[C@@](CC=C(C)C)(C[C@H],0,60,0.0,1.0,0,120,0.0,1.0,0,180,0.0,1.0
3797,P23219,COX1 (PTGS1),599,599,1,1,0.9995213747024536,0.3762440681457519,0.7779885159898403,0.08263261960772719,0.08330439031124115,[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=CC,0,60,0.0,1.0,0,120,0.0,1.0,0,180,0.0,1.0
4066,P23219,COX1 (PTGS1),599,599,1,1,0.9979168772697448,0.733433187007904,0.5208478243028327,0.08262681903843092,0.08329911530017853,CC(C(O)=O)C1=CC2=C(C=C1)C1=C(N2)C=CC(Cl)=C1,0,60,0.0,1.0,0,120,0.0,1.0,0,180,0.0,1.0
4862,P23219,COX1 (PTGS1),599,599,1,1,0.9970344305038452,0.6077104806900024,0.541918658603166,0.08262415855923956,0.08329598605632782,[H][C@@]12C=C(C)CC[C@@]1([H])C(C)(C)OC1=C2C(O)=CC(CCCCC)=C1,0,60,0.0,1.0,0,120,0.0,1.0,0,180,0.0,1.0
326,P35354,COX2 (PTGS2),604,604,3,3,0.9948311448097228,0.3206509351730346,0.8668294188188268,0.08237786301171147,0.08291581273078918,[H][C@@]12C[C@@H](O)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1,1,61,3.300546448087432,0.27381773340509613,1,121,1.6639118457300275,0.4892733697905053,1,182,1.1062271062271063,0.6596755939998147
723,P35354,COX2 (PTGS2),604,604,3,3,0.9980962872505188,0.9998739957809448,0.0009635535435071,0.08237168406265856,0.0829094722867012,[Mg++].C[N+](C)(C)CCO.OC1=CC=CC=C1C([O-])=O.OC1=CC=CC=C1C([O,1,61,3.300546448087432,0.27381773340509613,1,121,1.6639118457300275,0.4892733697905053,1,182,1.1062271062271063,0.6596755939998147
849,P35354,COX2 (PTGS2),604,604,3,3,0.9992054104804992,0.4280323088169098,0.6522866856500753,0.08237014287799005,0.08290789276361465,OC(=O)C1=CC=CC=C1NC1=CC(=CC=C1)C(F)(F)F,1,61,3.300546448087432,0.27381773340509613,1,121,1.6639118457300275,0.4892733697905053,1,182,1.1062271062271063,0.6596755939998147
932,P35354,COX2 (PTGS2),604,604,3,3,0.9989041090011596,0.6639057397842407,0.5017674278834156,0.08236961090160126,0.08290749043226242,CC1=C(CC(O)=O)C2=CC(F)=CC=C2\C1=C/C1=CC=C(C=C1)S(C)=O,1,61,3.300546448087432,0.27381773340509613,1,121,1.6639118457300275,0.4892733697905053,1,182,1.1062271062271063,0.6596755939998147
1179,P35354,COX2 (PTGS2),604,604,3,3,0.9979714751243592,0.9995840191841124,0.0033282852990134,0.08236989539289316,0.08290781825780869,OC(=O)C1=C(O)C=CC(=C1)C1=C(F)C=C(F)C=C1,1,61,3.300546448087432,0.27381773340509613,1,121,1.6639118457300275,0.4892733697905053,1,182,1.1062271062271063,0.6596755939998147
2283,P35354,COX2 (PTGS2),604,604,3,3,0.9978620409965516,0.7404830455780029,0.4600337168305263,0.08237086935893984,0.08290861546993256,CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)S(N)(=O)=O,1,61,3.300546448087432,0.27381773340509613,1,121,1.6639118457300275,0.4892733697905053,1,182,1.1062271062271063,0.6596755939998147
2559,P35354,COX2 (PTGS2),604,604,3,3,0.9991963505744934,0.5605502724647522,0.4977295294128896,0.08237409689124452,0.08291155099868774,CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=C(C=C(Cl)S2)S1(=O)=O,1,61,3.300546448087432,0.27381773340509613,1,121,1.6639118457300275,0.4892733697905053,1,182,1.1062271062271063,0.6596755939998147
3764,P35354,COX2 (PTGS2),604,604,3,3,0.997669517993927,0.7012458443641663,0.4901458463675039,0.08237062162713499,0.08290844410657883,CN1C(CC(O)=O)=CC=C1C(=O)C1=CC=C(C)C=C1,1,61,3.300546448087432,0.27381773340509613,1,121,1.6639118457300275,0.4892733697905053,1,182,1.1062271062271063,0.6596755939998147
